smiles,occurrence,degree,type,bonds
*C1CC(*)C(*)O1,5168,3,Ring,---
*CCCC*,5163,2,Linker,--
*N1CCCN(*)CC1,5124,2,Ring,--
*CCCNC(*)=O,5099,2,Linker,--
*C1=Nc2ccccc2C(=*)N1*,5078,3,Ring,-=-
*C=CC(=O)N*,5061,2,Linker,--
*OCC(*)=O,5041,2,Linker,--
*CN(*)C,5025,2,Linker,--
*c1nc(*)n(*)n1,5015,3,Ring,---
*c1cc(*)c(*)cn1,5015,3,Ring,---
*C1CCCCC1*,4892,2,Ring,--
*n1c(=*)c2ccccc2c1=*,4886,3,Ring,-==
*C1CC(=*)N(*)C1,4850,3,Ring,-=-
*CNC(=O)N*,4805,2,Linker,--
*c1cc(*)c(*)s1,4780,3,Ring,---
*C(=C)C,4739,1,Sub,-
*C1CN(*)CCO1,4682,2,Ring,--
*c1ccnn1*,4656,2,Ring,--
*CN(C)C(*)=O,4656,2,Linker,--
*OCC(=O)O,4551,1,Sub,-
*c1ccc2ccccc2n1,4513,1,Ring,-
*CN(C)C*,4491,2,Linker,--
*c1ccc2c(c1)nc(*)n2*,4474,3,Ring,---
*CS(*)(=O)=O,4450,2,Linker,--
*c1cc(*)n(*)c1*,4390,4,Ring,----
*N1CCCC1=*,4386,2,Ring,-=
*C(=O)N(*)C,4383,2,Linker,--
*C1CC(*)C(*)C(*)O1,4376,4,Ring,----
*OCCC,4352,1,Sub,-
*N1CCc2ccccc2C1,4277,1,Ring,-
*CCCCC,4231,1,Sub,-
*N(CC)CC,4209,1,Sub,-
*c1cnc(*)cn1,4196,2,Ring,--
*N(*)C,4162,2,Linker,--
*c1[nH]c2ccccc2c1*,4108,2,Ring,--
*c1cc2ncnc(*)c2cc1*,4104,3,Ring,---
*C(F)F,4099,1,Sub,-
*C1(*)CCCCC1,4092,2,Ring,--
*C1CCOC1,4027,1,Ring,-
*C(*)O,4023,2,Linker,--
*c1nnn(*)n1,4011,2,Ring,--
*c1ncnc(*)c1*,3953,3,Ring,---
*C(C)O,3940,1,Sub,-
*c1cc(*)n(*)c1,3934,3,Ring,---
*c1nn[nH]n1,3905,1,Ring,-
*CCN(C)C,3870,1,Sub,-
*c1cccn1*,3845,2,Ring,--
*c1cnc(*)n1*,3815,3,Ring,---
*c1nc(*)c(*)[nH]1,3800,3,Ring,---
*c1cncn1*,3771,2,Ring,--
*C1(*)CCCC1,3755,2,Ring,--
*CCCN*,3734,2,Linker,--
*C(C)(C)O,3730,1,Sub,-
*c1n[nH]c(*)n1,3689,2,Ring,--
*c1nnn(*)c1*,3675,3,Ring,---
*C(C)CC,3618,1,Sub,-
*c1nncn1*,3615,2,Ring,--
*c1n[nH]c(*)c1*,3557,3,Ring,---
*c1ccc2[nH]c(*)cc2c1,3538,2,Ring,--
*N=N*,3518,2,Linker,--
*S(=O)(=O)N(C)C,3494,1,Sub,-
*c1nnn[nH]1,3482,1,Ring,-
*C1CCN(*)CC1*,3480,3,Ring,---
*c1ccc2oc(*)nc2c1,3475,2,Ring,--
*c1[nH]c(*)c(*)c1*,3449,4,Ring,----
*c1ccc2nc(*)cc(*)c2c1,3444,3,Ring,---
*C1CCS(=*)(=*)C1,3433,3,Ring,-==
*C1(*)CCC1,3412,2,Ring,--
*NC(=O)COC(*)=O,3406,2,Linker,--
*c1cnc(*)c(*)n1,3381,3,Ring,---
*c1c[nH]c(*)n1,3365,2,Ring,--
*C1CN(*)C(=*)O1,3328,3,Ring,--=
*NCC,3327,1,Sub,-
*c1ccc2c(c1)c(*)c(*)n2*,3309,4,Ring,----
*CN(*)C(*)=O,3306,3,Linker,---
*c1ccc2cc(*)ccc2c1,3294,2,Ring,--
*C1CCC(=*)NC1=*,3292,3,Ring,-==
*COC*,3290,2,Linker,--
*NC(=O)C=C,3289,1,Sub,-
*C1COCCN1*,3286,2,Ring,--
*CC(N)=O,3237,1,Sub,-
*c1ccc2c(c1)c(*)cn2*,3205,3,Ring,---
*C(=O)NCC,3176,1,Sub,-
*c1csc(*)c1,3169,2,Ring,--
*c1ccc2[nH]c(=*)c(=*)c2c1,3165,3,Ring,-==
*c1nc2ccccc2o1,3149,1,Ring,-
*N1C=CC(=*)NC1=*,3136,3,Ring,-==
*c1cc(*)c(*)c(*)n1,3113,4,Ring,----
