smiles,occurrence,degree,type,bonds
*=NO,2305,1,Sub,=
*CN(*)S(*)(=O)=O,2303,3,Linker,---
*c1ncnc2c1ncn2*,2291,2,Ring,--
*c1[nH]c2ccccc2c1*,2291,2,Ring,--
*c1ccc(*)c2ccccc12,2291,2,Ring,--
*CCCO,2264,1,Sub,-
*NC(*)=S,2262,2,Linker,--
*c1nncn1*,2261,2,Ring,--
*c1cnn(*)c1*,2233,3,Ring,---
*c1ccc2ccccc2c1*,2229,2,Ring,--
*N=[N+]=[N-],2219,1,Sub,-
*NC(=O)CC,2214,1,Sub,-
*c1cc(*)c(*)s1,2200,3,Ring,---
*C(=O)NC(C)C,2191,1,Sub,-
*C1Cc2ccccc2CN1*,2176,2,Ring,--
*C1=CN(C2CC(*)C(*)O2)C(=*)NC1=*,2173,5,Ring,---==
*c1cc(*)nc(*)c1,2158,3,Ring,---
*c1n[nH]c(*)c1*,2140,3,Ring,---
*C(=O)NC(C)(C)C,2140,1,Sub,-
*CCCCCCCC,2133,1,Sub,-
*CNC(=O)CS*,2130,2,Linker,--
*c1cc(*)ncn1,2118,2,Ring,--
*CCC(=O)NC*,2118,2,Linker,--
*NC(=S)NC(*)=O,2100,2,Linker,--
*N1CCc2ccccc21,2083,1,Ring,-
*OP(=O)(O)O,2080,1,Sub,-
*c1cc2ccccc2o1,2079,1,Ring,-
*NN=*,2058,2,Linker,-=
*N1CCN(c2ccccn2)CC1,2054,1,Ring,-
*c1nc2ccccc2o1,2049,1,Ring,-
*NC(=N)N,2042,1,Sub,-
*NC(=O)OC,2041,1,Sub,-
*C1COC(*)C(*)C1*,2036,4,Ring,----
*c1cc[n+](*)cc1,2034,2,Ring,--
*NC(=S)N*,2032,2,Linker,--
*CN(C)S(*)(=O)=O,2023,2,Linker,--
*c1cc2ccccc2[nH]1,1969,1,Ring,-
*c1ccnn1*,1968,2,Ring,--
*CCCC(*)=O,1964,2,Linker,--
*c1sc(*)c(*)c1*,1962,4,Ring,----
*C1CCC2C(*)C(*)OC3OC4(*)CCC1C32OO4,1962,4,Ring,----
*C1COc2ccccc2O1,1944,1,Ring,-
*c1ccccc1-c1ccccc1,1933,1,Ring,-
*C1CC1(*)*,1929,3,Ring,---
*C=CC*,1920,2,Linker,--
*C(=O)OC(C)C,1902,1,Sub,-
*OCCN(C)C,1896,1,Sub,-
*c1nc(*)c2ncn(C3OC(*)C(*)C3*)c2n1,1892,5,Ring,-----
*c1ccc2[nH]c(*)c(*)c2c1,1882,3,Ring,---
*c1ccc2c(ccn2*)c1,1859,2,Ring,--
*C=CC(=O)NO,1857,1,Sub,-
*c1ccc2c(c1)c(*)cn2*,1851,3,Ring,---
*c1ccc(-c2nnc(*)o2)cc1,1846,2,Ring,--
*c1ccc(-c2noc(*)n2)cc1,1846,2,Ring,--
*COC(=O)N*,1837,2,Linker,--
*C(=O)NC(*)*,1835,3,Linker,---
*C1CCCNC1,1833,1,Ring,-
*CCCCNC(*)=O,1832,2,Linker,--
*OCC=C,1831,1,Sub,-
*C1=Nc2ccccc2C(=*)N1*,1823,3,Ring,-=-
*SCC,1808,1,Sub,-
*OCCO,1794,1,Sub,-
*c1sc2ccccc2c1*,1774,2,Ring,--
*c1ccc2c(c1)CCN2*,1773,2,Ring,--
*C1CC2CCC(C1)N2*,1769,2,Ring,--
*S(=O)(=O)N(CC)CC,1769,1,Sub,-
*C1=C(*)N(*)N(c2ccccc2)C1=*,1765,4,Ring,---=
*c1cscn1,1764,1,Ring,-
*c1ccc2nc(*)cc(*)c2c1,1760,3,Ring,---
*c1cc2nccc(*)c2cc1*,1757,3,Ring,---
*C(=O)C=C,1753,1,Sub,-
*OC(*)C,1739,2,Linker,--
*C(=O)C(C)C,1730,1,Sub,-
*c1ccc(-n2cc(*)nn2)cc1,1728,2,Ring,--
*OCC(F)(F)F,1724,1,Sub,-
*CC(C)(C)C,1723,1,Sub,-
*c1ccc[nH]1,1713,1,Ring,-
*=C1NC(=*)C(=*)N1,1704,3,Ring,===
*NC(=O)OC(C)(C)C,1704,1,Sub,-
*NCCO,1703,1,Sub,-
*OS(=O)(=O)O,1703,1,Sub,-
*C(=O)NNC(*)=O,1700,2,Linker,--
*c1cc2c(cc1*)CN(*)CC2,1694,3,Ring,---
*NC(=O)C(*)C,1683,2,Linker,--
*c1csc(*)c1,1667,2,Ring,--
*c1ccc2ncnc(*)c2c1,1663,2,Ring,--
*CF,1661,1,Sub,-
*CCCC(=O)N*,1657,2,Linker,--
*C(=O)NCCN(C)C,1656,1,Sub,-
*c1ccc(*)nn1,1653,2,Ring,--
*OCCO*,1650,2,Linker,--
*C1=CCCCC1,1649,1,Ring,-
*CCCNC(=N)N,1645,1,Sub,-
*CCCN(C)C,1622,1,Sub,-
*CC(=O)O*,1620,2,Linker,--
*C(*)(*)O,1612,3,Linker,---
*C(=O)C(NC(=O)OC)C(C)C,1612,1,Sub,-
*C1CN(*)CC(*)O1,1610,3,Ring,---
*c1cccc(N2CCN(*)CC2)c1*,1606,3,Ring,---
*c1ccc(N2CCOCC2)c(*)c1,1600,2,Ring,--
*c1nc[nH]c1*,1599,2,Ring,--
*c1ccc2c(c1)c(=*)c(=*)n2*,1595,4,Ring,-==-
*CCl,1590,1,Sub,-
*C1CC(=*)N(*)C1,1589,3,Ring,-=-
*N(C)S(C)(=O)=O,1589,1,Sub,-
*C1CCCN1,1588,1,Ring,-
*NC(*)*,1584,3,Linker,---
*C1CCC2(*)CCC3(*)C(CCC4C5(*)CCC(*)C(*)(*)C5CCC43*)C12,1582,8,Ring,--------
*C1(*)CCC1,1579,2,Ring,--
*c1nc2c(n1*)C(=*)N(*)C(=*)N2*,1576,6,Ring,--=-=-
*C1CC1*,1575,2,Ring,--
*C=NO,1574,1,Sub,-
*c1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1572,1,Ring,-
*CC(*)C,1562,2,Linker,--
*c1cncnc1,1551,1,Ring,-
*N1CCCc2ccccc21,1545,1,Ring,-
*OCC(C)C,1537,1,Sub,-
*c1ncnc(*)c1*,1536,3,Ring,---
*CCOC(*)=O,1536,2,Linker,--
*NCCCC,1535,1,Sub,-
